ID,Year_Birth,Education,Marital_Status,Income,Children,Wines_Products,Fruits_Products,Meat_Products,Fish_Products,Sweet_Products,PurchasesFromCatalog,PurchasesFromStore,PurchasesFromWeb,Deals_Claimed
1,1985,Graduate,Married,70951,0,239,10,554,254,87,4,9,3,1
2,1961,Graduate,Single,57091,0,464,5,64,7,0,3,7,7,1
3,1975,Master,Single,46098,2,57,0,27,0,0,2,2,3,4
4,1947,PhD,Widow,25358,1,19,0,5,0,0,0,3,1,2
5,1971,PhD,Married,60491,1,637,47,237,12,19,11,7,6,4
6,1965,Secondary,Married,46891,1,43,12,23,29,15,1,4,2,1
7,1976,Graduate,Divorced,46310,1,185,2,88,15,5,1,5,6,2
8,1960,Master,Together,17144,2,18,2,19,0,2,0,4,3,5
9,1958,Graduate,Married,65148,1,460,35,422,33,12,6,7,6,2
10,1987,Graduate,Married,25545,1,32,1,64,16,12,2,3,2,3
11,1964,Graduate,Together,55761,1,136,1,12,0,3,1,3,4,2
12,1970,Graduate,Single,20587,1,2,3,6,4,1,1,2,1,1
13,1963,Graduate,Together,56253,1,509,0,65,7,11,2,9,7,4
14,1972,Master,Single,46423,2,68,0,16,0,0,0,4,2,3
15,1953,PhD,Single,51411,3,14,0,3,0,0,0,3,0,1
16,1982,Secondary,Together,41039,0,34,11,137,179,61,1,5,8,1
17,1969,Graduate,Married,25293,1,15,0,11,0,2,1,2,1,1
18,1981,Secondary,Married,27733,1,0,7,5,26,2,0,3,2,2
19,1975,Secondary,Married,22212,1,5,9,20,6,8,0,4,2,2
20,1988,Graduate,Single,34176,1,5,7,24,19,14,0,4,3,4
21,1951,Graduate,Married,30833,2,11,0,7,3,1,0,3,1,2
22,1966,Master,Single,43456,1,275,11,68,25,7,1,8,5,3
23,1951,Graduate,Widow,67046,1,544,35,133,23,151,5,4,4,2
24,1958,Secondary,Together,53083,2,215,7,33,3,0,1,5,5,6
25,1970,Graduate,Single,61209,0,466,0,224,119,49,3,4,5,1
26,1960,PhD,Single,76045,0,760,53,400,17,93,5,11,4,1
27,1953,Graduate,Divorced,23272,0,19,3,6,4,2,0,3,1,1
28,1945,PhD,Together,71604,0,345,53,528,98,75,3,5,8,1
29,1977,PhD,Married,28973,0,206,0,46,3,2,1,5,5,2
30,1986,Graduate,Married,71952,1,656,80,455,52,107,4,8,8,2
31,1980,Secondary,Single,67506,1,90,38,67,33,36,1,6,4,1
32,1956,Graduate,Married,62503,1,478,0,193,110,75,3,11,8,4
33,1946,PhD,Together,44124,1,284,0,55,0,6,2,5,6,4
34,1996,Basic,Married,14421,0,0,0,2,3,3,0,2,1,1
35,1965,Graduate,Married,48006,2,23,0,11,3,2,0,3,1,1
36,1972,Graduate,Single,38808,1,125,17,52,3,19,1,4,5,4
37,1962,Master,Single,45183,0,219,3,60,12,9,1,7,4,1
38,1948,PhD,Widow,82032,0,332,194,377,149,125,6,7,4,0
39,1975,Master,Single,81169,0,1288,20,613,80,61,7,9,5,1
40,1963,PhD,Single,23091,2,35,0,11,0,0,1,3,2,4
41,1956,Master,Single,64857,0,556,14,717,210,0,5,10,7,1
42,1955,Graduate,Married,48726,1,138,3,38,4,0,2,4,3,3
43,1956,Master,Together,28839,2,24,0,7,0,0,0,3,2,2
44,1965,Graduate,Single,61559,1,279,83,88,32,14,2,10,4,1
45,1979,Graduate,Divorced,15287,1,1,2,8,4,3,1,2,1,2
46,1951,Graduate,Married,34838,2,28,23,29,29,14,1,4,2,3
47,1967,Secondary,Together,67309,2,515,47,181,149,95,6,9,9,15
48,1952,Graduate,Together,83844,0,901,31,345,75,31,4,11,4,1
49,1965,Graduate,Married,66480,2,199,9,57,20,21,1,7,4,7
50,1971,Graduate,Married,36715,1,172,10,125,21,13,2,4,7,6
51,1963,PhD,Divorced,41003,0,123,133,142,71,44,2,8,6,1
52,1955,Graduate,Together,53863,1,399,4,30,6,4,1,7,7,3
53,1951,Graduate,Divorced,22263,2,17,0,2,0,0,0,3,1,2
54,1959,PhD,Married,75032,1,952,12,180,47,12,4,9,5,2
55,1945,PhD,Single,45576,0,56,19,29,2,14,1,3,3,1
56,1963,PhD,Single,46757,1,777,30,163,0,51,4,7,4,6
57,1969,Graduate,Widow,40590,2,154,0,50,6,11,4,3,3,5
58,1970,Master,Married,36138,2,130,0,16,0,0,1,4,3,5
59,1973,Graduate,Single,34853,2,9,3,15,2,3,0,3,2,2
60,1952,Graduate,Single,44213,2,95,11,35,0,4,1,5,2,4
61,1970,Graduate,Married,72940,0,182,74,298,162,149,3,6,3,1
